base,target,last,volume,converted_last,converted_volume,timestamp,last_traded_at,last_fetch_at
BTC,USDT,66984.0,28856.27816,"{'btc': 1.000879, 'eth': 25.130633, 'usd': 66995, 'usd_v2': 66952}","{'btc': 29428, 'eth': 738898, 'usd': 1969810089, 'usd_v2': 1968542506}",2024-10-21 15:46:34+00:00,2024-10-21 15:46:34+00:00,2024-10-21 15:47:01+00:00
BTC,FDUSD,66989.91,29270.46987,"{'btc': 0.99913714, 'eth': 25.121069, 'usd': 66834}","{'btc': 29891, 'eth': 751546, 'usd': 1999472996}",2024-10-21 15:40:11+00:00,2024-10-21 15:40:11+00:00,2024-10-21 15:40:11+00:00
BTC,USDT,66986.28,23658.580249,"{'btc': 1.000913, 'eth': 25.132137, 'usd': 66975, 'usd_v2': 66954}","{'btc': 24127, 'eth': 605821, 'usd': 1614456077, 'usd_v2': 1613963142}",2024-10-21 15:46:48+00:00,2024-10-21 15:46:48+00:00,2024-10-21 15:46:48+00:00
BTC,USDT,66893.9,19985.2033,"{'btc': 1.000144, 'eth': 25.121312, 'usd': 66878, 'usd_v2': 66860}","{'btc': 20459, 'eth': 513881, 'usd': 1368055300, 'usd_v2': 1367696777}",2024-10-21 15:44:11+00:00,2024-10-21 15:44:11+00:00,2024-10-21 15:44:11+00:00
BTC,USDT,66986.14,17412.878347,"{'btc': 1.000911, 'eth': 25.132084, 'usd': 66975, 'usd_v2': 66954}","{'btc': 17794, 'eth': 446787, 'usd': 1190644828, 'usd_v2': 1190281293}",2024-10-21 15:46:56+00:00,2024-10-21 15:46:56+00:00,2024-10-21 15:46:56+00:00
BTC,USDT,66874.94,15344.657267,"{'btc': 0.9993962, 'eth': 25.116327, 'usd': 66824, 'usd_v2': 66842}","{'btc': 15662, 'eth': 393615, 'usd': 1047236525, 'usd_v2': 1047518349}",2024-10-21 15:42:35+00:00,2024-10-21 15:42:35+00:00,2024-10-21 15:42:35+00:00
BTC,USDT,66897.37,14350.006519,"{'btc': 1.000262, 'eth': 25.130597, 'usd': 66878, 'usd_v2': 66864}","{'btc': 14653, 'eth': 368148, 'usd': 979718322, 'usd_v2': 979514829}",2024-10-21 15:43:37+00:00,2024-10-21 15:43:37+00:00,2024-10-21 15:43:37+00:00
BTC,USDT,66888.01,12686.5461,"{'btc': 1.000122, 'eth': 25.127081, 'usd': 66868, 'usd_v2': 66855}","{'btc': 12688, 'eth': 318776, 'usd': 848329736, 'usd_v2': 848153533}",2024-10-21 15:43:40+00:00,2024-10-21 15:43:40+00:00,2024-10-21 15:43:40+00:00
BTC,USDT,66899.86,10236.41568,"{'btc': 0.99969223, 'eth': 25.125718, 'usd': 66854, 'usd_v2': 66866}","{'btc': 10233, 'eth': 257197, 'usd': 684343620, 'usd_v2': 684472369}",2024-10-21 15:42:00+00:00,2024-10-21 15:42:00+00:00,2024-10-21 15:42:00+00:00
BTC,USDT,66997.7,9368.26808496,"{'btc': 1.001084, 'eth': 25.136421, 'usd': 66986, 'usd_v2': 66966}","{'btc': 9558, 'eth': 239995, 'usd': 639563898, 'usd_v2': 639368623}",2024-10-21 15:47:00+00:00,2024-10-21 15:47:00+00:00,2024-10-21 15:47:00+00:00
BTC,USDT,66871.36,8752.837811,"{'btc': 0.99987308, 'eth': 25.117629, 'usd': 66850, 'usd_v2': 66838}","{'btc': 8752, 'eth': 219851, 'usd': 585125645, 'usd_v2': 585021511}",2024-10-21 15:44:00+00:00,2024-10-21 15:44:00+00:00,2024-10-21 15:44:00+00:00
BTC,USDT,66887.79,5822.1126,"{'btc': 1.000119, 'eth': 25.1238, 'usd': 66866, 'usd_v2': 66854}","{'btc': 5823, 'eth': 146274, 'usd': 389302814, 'usd_v2': 389233531}",2024-10-21 15:43:56+00:00,2024-10-21 15:43:56+00:00,2024-10-21 15:43:56+00:00
BTC,USDC,66962.02,5525.94832,"{'btc': 1.000897, 'eth': 25.131735, 'usd': 66974, 'usd_v2': 66949}","{'btc': 5531, 'eth': 138877, 'usd': 370093334, 'usd_v2': 369954656}",2024-10-21 15:46:53+00:00,2024-10-21 15:46:53+00:00,2024-10-21 15:46:53+00:00
BTC,USD,66896.0,10063.013865,"{'btc': 1.000323, 'eth': 25.141565, 'usd': 66896}","{'btc': 10066, 'eth': 253000, 'usd': 673175376}",2024-10-21 15:42:00+00:00,2024-10-21 15:42:00+00:00,2024-10-21 15:42:00+00:00
BTC,USDT,66969.44,4472.0458,"{'btc': 1.00134, 'eth': 25.151344, 'usd': 66958, 'usd_v2': 66936}","{'btc': 4478, 'eth': 112478, 'usd': 299438936, 'usd_v2': 299340658}",2024-10-21 15:40:14+00:00,2024-10-21 15:40:14+00:00,2024-10-21 15:44:03+00:00
BTC,USDC,66961.97,4272.048801,"{'btc': 1.000903, 'eth': 25.131894, 'usd': 66974, 'usd_v2': 66949}","{'btc': 4359, 'eth': 109443, 'usd': 291654127, 'usd_v2': 291542782}",2024-10-21 15:45:58+00:00,2024-10-21 15:45:58+00:00,2024-10-21 15:46:57+00:00
BTC,USD,66956.65,6795.74583784,"{'btc': 1.000303, 'eth': 25.116181, 'usd': 66957}","{'btc': 6798, 'eth': 170683, 'usd': 455020376}",2024-10-21 15:46:33+00:00,2024-10-21 15:46:33+00:00,2024-10-21 15:47:01+00:00
BTC,USDC,66972.02,3415.19389,"{'btc': 1.000903, 'eth': 25.131241, 'usd': 66997, 'usd_v2': 66959}","{'btc': 3488, 'eth': 87576, 'usd': 233467293, 'usd_v2': 233334274}",2024-10-21 15:47:02+00:00,2024-10-21 15:47:02+00:00,2024-10-21 15:47:02+00:00
BTC,USDT,66890.0,2930.58785,"{'btc': 0.99954489, 'eth': 25.122014, 'usd': 66844, 'usd_v2': 66857}","{'btc': 2995, 'eth': 75271, 'usd': 200280323, 'usd_v2': 200318003}",2024-10-21 15:41:40+00:00,2024-10-21 15:41:40+00:00,2024-10-21 15:41:40+00:00
BTC,USDT,66883.5,3945.1472176,"{'btc': 0.99952413, 'eth': 25.119542, 'usd': 66832, 'usd_v2': 66850}","{'btc': 3943, 'eth': 99100, 'usd': 263662367, 'usd_v2': 263733321}",2024-10-21 15:42:45+00:00,2024-10-21 15:42:45+00:00,2024-10-21 15:42:45+00:00
